time,open,high,low,close,volume,ticker
2013-01-02,16876,17407,16770,16982,106720,VIC
2013-01-03,16982,16982,16770,16982,118830,VIC
2013-01-04,16876,17088,16770,16982,162880,VIC
2013-01-07,17088,17831,17088,17725,370650,VIC
2013-01-08,17937,18044,17725,17937,363210,VIC
2013-01-09,17937,17937,17619,17619,81350,VIC
2013-01-10,17619,17619,17195,17619,120980,VIC
2013-01-11,17937,17937,17513,17725,171140,VIC
2013-01-14,17831,17831,17619,17725,215400,VIC
2013-01-15,18044,18150,17725,17725,160930,VIC
2013-01-16,18044,18150,17725,17937,237940,VIC
2013-01-17,18044,18150,17937,18044,137110,VIC
2013-01-18,18044,18150,17937,18044,205380,VIC
2013-01-21,17937,18150,17831,17831,133100,VIC
2013-01-22,18814,18814,18112,18253,200700,VIC
2013-01-23,18393,18674,18253,18393,305690,VIC
2013-01-24,18393,18533,18253,18393,248840,VIC
2013-01-25,18393,18674,18393,18533,352190,VIC
2013-01-28,18955,19095,18814,18814,331350,VIC
2013-01-29,18814,18955,18674,18814,312550,VIC
2013-01-30,18814,18955,18674,18814,596680,VIC
2013-01-31,18533,18814,18533,18674,131930,VIC
2013-02-01,18674,18814,18533,18814,188520,VIC
2013-02-04,18814,18955,18814,18814,244350,VIC
2013-02-05,18814,19095,18814,18814,741040,VIC
2013-02-06,19095,19095,18814,18955,175610,VIC
2013-02-07,19095,19095,18814,18955,104460,VIC
2013-02-08,18814,19095,18533,18955,96950,VIC
2013-02-18,18955,18955,18533,18533,117770,VIC
2013-02-19,19095,19095,18674,18814,463190,VIC
2013-02-20,18955,18955,18674,18814,145770,VIC
2013-02-21,18674,18814,18253,18253,91840,VIC
2013-02-22,18253,18533,17831,17972,109240,VIC
2013-02-25,18253,18253,17972,18253,60860,VIC
2013-02-26,18112,18112,17270,17551,145630,VIC
2013-02-27,17551,17831,17410,17831,115050,VIC
2013-02-28,17831,18955,17831,18814,551700,VIC
2013-03-01,19095,19095,18533,18533,132410,VIC
2013-03-04,18955,19657,18674,19095,379190,VIC
2013-03-05,18955,18955,18533,18533,201440,VIC
2013-03-06,19095,19095,18393,18533,94290,VIC
2013-03-07,18533,18533,18112,18112,283370,VIC
2013-03-08,18253,18393,18112,18253,73590,VIC
2013-03-11,18253,18533,18112,18533,74730,VIC
2013-03-12,18253,18393,17831,17831,169070,VIC
2013-03-13,18112,18253,17691,17831,144800,VIC
2013-03-14,17831,17972,17691,17972,75210,VIC
2013-03-15,18112,18393,17972,18393,415500,VIC
2013-03-18,18393,18533,18112,18112,102710,VIC
2013-03-19,17972,18393,17972,18112,58810,VIC
2013-03-20,17972,18253,17972,18253,61650,VIC
2013-03-21,18253,18533,18253,18393,94400,VIC
2013-03-22,18393,18955,18253,18253,210740,VIC
2013-03-25,18253,18814,18253,18674,286920,VIC
2013-03-26,18814,18955,18533,18533,154130,VIC
2013-03-27,18533,18533,18112,18112,114830,VIC
2013-03-28,18253,18253,17691,17972,135090,VIC
2013-03-29,17691,17972,17691,17831,36080,VIC
2013-04-01,17972,18393,17831,18393,88590,VIC
2013-04-02,18112,18533,18112,18533,95700,VIC
2013-04-03,18253,18533,17831,18112,124760,VIC
2013-04-04,18253,18253,17551,17831,116840,VIC
2013-04-05,18112,18393,17972,18253,218290,VIC
2013-04-08,18533,18533,18112,18253,99740,VIC
2013-04-09,18112,18253,17831,17972,141820,VIC
2013-04-10,17972,17972,17691,17691,505340,VIC
2013-04-11,17691,17972,17551,17972,133050,VIC
2013-04-12,17972,17972,17551,17831,98270,VIC
2013-04-15,17831,17831,16848,17410,82290,VIC
2013-04-16,17129,17410,16708,17410,246990,VIC
2013-04-17,17410,17691,17129,17410,109460,VIC
2013-04-18,16989,17270,16848,17270,463190,VIC
2013-04-22,17129,17270,16848,17129,204960,VIC
2013-04-23,17270,17270,16989,17270,90120,VIC
2013-04-24,17129,17270,17129,17129,181360,VIC
2013-04-25,17270,17410,17129,17410,59080,VIC
2013-04-26,17129,17410,17129,17410,82480,VIC
2013-05-02,17129,17972,17129,17831,157650,VIC
2013-05-03,17551,17972,17551,17831,73490,VIC
2013-05-06,17972,18112,17972,17972,77570,VIC
2013-05-07,17972,18112,17831,17972,340450,VIC
2013-05-08,17972,18112,17972,18112,69240,VIC
2013-05-09,17831,18112,17831,18112,61220,VIC
2013-05-10,18112,18253,17551,17972,144130,VIC
2013-05-13,17972,18112,17691,18112,82340,VIC
2013-05-14,18112,18112,17831,18112,35240,VIC
2013-05-15,18112,18112,17831,17972,115010,VIC
2013-05-16,18112,18112,17831,17831,58710,VIC
2013-05-17,17972,17972,17831,17972,41100,VIC
2013-05-20,17972,17972,17691,17972,20020,VIC
2013-05-21,17691,18112,17691,18112,31840,VIC
2013-05-22,17972,18533,17972,18533,246700,VIC
2013-05-23,18533,18533,17972,17972,199720,VIC
2013-05-24,17972,18393,17972,18253,355190,VIC
2013-05-27,18253,18955,18253,18814,255140,VIC
2013-05-28,18814,19095,18674,18814,243170,VIC
2013-05-29,18955,20078,18253,20078,848370,VIC
2013-05-30,20639,21201,20078,20078,1325820,VIC
2013-05-31,20499,20499,19095,19095,759040,VIC
2013-06-03,19095,19657,18814,19376,183400,VIC
2013-06-04,20639,20639,20078,20078,2422400,VIC
2013-06-05,19937,19937,19516,19516,635050,VIC
2013-06-06,19376,19516,19235,19235,549640,VIC
2013-06-07,19235,19516,19095,19516,906520,VIC
2013-06-10,20218,20218,19657,19657,1263220,VIC
2013-06-11,19797,19797,19095,19235,1013170,VIC
2013-06-12,19376,19657,19235,19376,650840,VIC
2013-06-13,19235,19516,18814,19095,643900,VIC
2013-06-14,19095,19095,18253,18253,1565440,VIC
2013-06-17,18393,18393,17831,17972,1538990,VIC
2013-06-18,18112,18253,17972,17972,1364110,VIC
2013-06-19,18253,18253,17972,17972,951470,VIC
2013-06-20,17972,18112,17831,17831,357810,VIC
2013-06-21,17691,17972,17551,17691,635240,VIC
2013-06-24,17831,17972,17410,17551,755930,VIC
2013-06-25,17551,17551,16708,17270,946390,VIC
2013-06-26,17270,17410,16848,17270,1003120,VIC
2013-06-27,17410,17691,17270,17691,345020,VIC
2013-06-28,17691,17831,17551,17551,320100,VIC
2013-07-01,17551,17551,17129,17270,155160,VIC
2013-07-02,17410,17972,17270,17831,413990,VIC
2013-07-03,17831,17972,17551,17831,514930,VIC
2013-07-04,17831,18112,17691,17691,1982700,VIC
2013-07-05,17831,17831,17551,17691,144780,VIC
2013-07-08,17691,17691,17270,17410,238650,VIC
2013-07-09,17410,17691,17410,17691,280430,VIC
2013-07-10,17831,17831,17410,17551,207760,VIC
2013-07-11,17551,17831,17410,17831,2499420,VIC
2013-07-12,17831,18253,17691,18253,2300070,VIC
2013-07-15,18253,18393,17691,18112,2470510,VIC
2013-07-16,18112,18253,17691,17972,3291530,VIC
2013-07-17,17972,18253,17691,17972,3892710,VIC
2013-07-18,17831,18112,17691,17831,4173320,VIC
2013-07-19,17972,18112,17691,17972,3411160,VIC
2013-07-22,17972,17972,17691,17831,4404440,VIC
2013-07-23,17831,17972,17691,17831,4466240,VIC
2013-07-24,17831,17972,17551,17831,2637950,VIC
2013-07-25,17831,17972,17691,17972,4287660,VIC
2013-07-26,17972,17972,17691,17972,3877670,VIC
2013-07-29,17831,17972,17691,17691,1029000,VIC
2013-07-30,17691,17831,17410,17410,176550,VIC
2013-07-31,17410,17691,17129,17691,273900,VIC
2013-08-01,17410,17831,17410,17831,185760,VIC
2013-08-02,17691,17972,17691,17831,171820,VIC
